SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Undertake a 'values walk' by devising a range of statements about what a 'respectful relationship' may look like and what a 'disrespectful relationship' may look like> Make a note of whether you agree/disagree with (or are unsure about) the statements read out. Discuss how healthy and respectful relationships contribute to optimal health and wellbeing.,,,,35
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Access the Department of Education's Level 11-12 Resilience, rights and respectful relationships learning materials. Explore this publication and select activities suitable to explore the key skill 'analyse the role of healthy and respectful relationships in the achievement of optimal health and wellbeing'.",,,,36
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Develop a brochure or blog educating people about their right to be treated respectfully, where they may be able to access local help or support, and how healthy and respectful relationships contribute to optimal health and wellbeing.",,,,37
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Brainstorm the topic: 'What is a parent?' Consider possible roles and functions of a parent.,,,,38
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"In small groups, debate the idea: 'Parenting begins before birth'. Report group ideas to the rest of the class.",,,,39
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Access Raising Children website and watch the video How play helps development. Discuss the importance of play for physical, social, emotional and intellectual development during early childhood, including how play impacts on future health and development.",,,,40
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Using recycled materials from home, school and/or the environment, design and make a toy suitable for a child. Present toys to the class, identifying the age group it is most appropriate for and describing how it can enhance the child's physical, social, emotional and/or intellectual development.",,,,41
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Play a number of games suitable for children of varied ages (e.g. skipping, memory, puzzles, snakes and ladders). After playing each game, identify the age the game was most appropriate for and how the game would enhance physical, social, emotional and intellectual development. Present results in a table. As a class, create a list of social and emotional support resources that new parents might require. Using a scale from 1 to10 (1 being only slightly important and 10 being very important) rank the support resources identified.",,,,42
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Devise a survey to find out about the concerns of new parents or parents-to-be, each student interviews a new parent or parent of young children and discusses his/her findings with the class. Identify any common themes/concerns.",,,,43
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Visit the local Maternal and Child Health Centre or invite a Maternal and Child Health Nurse to speak to the class. Ask about the support and resources offered to families and new parents.,,,,44
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Create a story, calendar entry, or a poster, using Prezi, iMovie, Comic Life, Animoto or PadletSet, that details a 'Diary from inside the womb' from the perspective of the growing foetus. Detail the developmental changes from conception to birth. A useful resource is the Raising Children website Pregnancy week by week.",,,,45
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,View animations of the process of fertilisation and prenatal development. Create a timeline showing the process of fertilisation and the stages of prenatal development.,,,,46
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Using playdough, clay or recycled materials, model the process of conception through to implantation with a focus on cell division.",,,,47
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Develop a concept map showing the risk and protective factors that influence prenatal development. Use the concept map to provide advice to parents, analysing the factors that influence development during the prenatal stage of the human lifespan.",,,,48
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KS,Activity,Bullet,Access 'Alcohol. Think again' (WA and identify the impacts of consuming alcohol during pregnancy. Research the issues associated with children affected by Foetal Alcohol Spectrum Disorder; this education campaign has a specific promotion program targeted at pregnant women. Explain this program and how it aims to reduce rates of alcohol consumption in pregnancy and how alcohol consumption influences development during the prenatal stage of the human lifespan.,,,,49
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"In groups design and/or create a short (2-4 minutes) film/podcast/infomercial (for television, radio and/or internet) that could help to warn pregnant women and potential new mothers about the dangers of smoking, vaping, alcohol consumption or poor diet in pregnancy.",,,,50
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Watch an episode of Bluey on ABC iView. Note ways in which the episode shows examples of play, such as Musical statues. Identify the types of development evident in this play.",,,,51
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,View a movie or television program focusing on parenting (such as 'Bump' or the ABC's 'Life At' series) and consider the following:,,,,52
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,The types of activities and how they promote development,View a movie or television program focusing on parenting (such as 'Bump' or the ABC's 'Life At' series) and consider the following:,,,53
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,How the different childcare options promote social and emotional development,View a movie or television program focusing on parenting (such as 'Bump' or the ABC's 'Life At' series) and consider the following:,,,54
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,How food choices can impact health and development,View a movie or television program focusing on parenting (such as 'Bump' or the ABC's 'Life At' series) and consider the following:,,,55
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,The importance of early childhood education for future health and development.,View a movie or television program focusing on parenting (such as 'Bump' or the ABC's 'Life At' series) and consider the following:,,,56
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,The use of iPads and tablets among toddlers has grown considerably. Conduct some research and list the pros and cons of young children having access to these devices. Consider the positive and negative impacts on the children's future health and development.,,,,57
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Develop a 3-4 min podcast designed for mothers of young children, giving them some ideas of games they could play or create with their children that have a minimal cost. Include an analysis of the benefits of play on development during childhood.",,,,58
